VFID_V1,Date,Primary,CO
VFID0651,2022-Apr-22,VFID0651,1
VFID0582,2022-Apr-22,VFID0651,
VFID0660,2022-Apr-22,VFID0651,
VFID0720,2022-Apr-22,VFID0720,1
VFID0732,2022-Apr-22,VFID0720,
VFID0783,2022-Apr-22,VFID0783,1
VFID0683,2022-Apr-22,VFID0783,
VFID2098,2022-Apr-23,VFID2098,1
VFID3119,2022-Apr-23,VFID3119,1
VFID3067,2022-Apr-23,VFID3119,
VFID3123,2022-Apr-23,VFID3119,
VFID2162,2022-Apr-23,VFID2162,1
VFID2194,2022-Apr-23,VFID2162,
VFID2172,2022-Apr-23,VFID2162,
VFID2177,2022-Apr-23,VFID2162,
VFID1944,2022-Apr-23,VFID1944,1
VFID1914,2022-Apr-23,VFID1944,
VFID1946,2022-Apr-23,VFID1944,
VFID0607,2022-Apr-23,VFID0607,1
VFID0626,2022-Apr-23,VFID0607,
VFID0611,2022-Apr-23,VFID0607,1
VFID0603,2022-Apr-23,VFID0607,1
VFID0602,2022-Apr-23,VFID0607,
VFID0569,2022-Apr-23,VFID0607,1
VFID3948,2022-Apr-23,VFID3948,1
VFID3890,2022-Apr-23,VFID3948,
VFID3287,2022-Apr-23,VFID3287,1
VFID0483,2022-Apr-23,VFID0483,1
VFID0448,2022-Apr-23,VFID0483,
VFID0473,2022-Apr-23,VFID0483,
VFID0481,2022-Apr-23,VFID0483,
VFID3248,2022-Apr-24,VFID3248,1
VFID3205,2022-Apr-24,VFID3205,
VFID3240,2022-Apr-24,VFID3205,
VFID3239,2022-Apr-24,VFID3205,1
VFID3247,2022-Apr-24,VFID3205,
VFID3254,2022-Apr-24,VFID3205,
VFID3261,2022-Apr-24,VFID3205,
VFID3264,2022-Apr-24,VFID3205,
VFID3279,2022-Apr-24,VFID3205,
VFID3391,2022-Apr-24,VFID3391,1
VFID1979,2022-Apr-24,VFID1979,
VFID1923,2022-Apr-24,VFID1979,
VFID1951,2022-Apr-24,VFID1979,
VFID1955,2022-Apr-24,VFID1979,1
VFID1956,2022-Apr-24,VFID1979,
VFID1959,2022-Apr-24,VFID1979,
VFID1964,2022-Apr-24,VFID1979,
VFID1966,2022-Apr-24,VFID1979,
VFID1976,2022-Apr-24,VFID1979,
VFID1979,2022-Apr-24,VFID1979,1
VFID1996,2022-Apr-24,VFID1979,
VFID1791,2022-Apr-24,VFID1791,1
VFID1794,2022-Apr-24,VFID1791,
VFID1804,2022-Apr-24,VFID1791,
VFID1809,2022-Apr-24,VFID1791,
VFID1821,2022-Apr-24,VFID1791,1
VFID2078,2022-Apr-24,VFID2078,
VFID2348,2022-Apr-24,VFID2348,1
VFID2317,2022-Apr-24,VFID2348,
VFID0776,2022-Apr-24,VFID0776,
VFID0702,2022-Apr-24,VFID0776,
VFID3714,2022-Apr-24,VFID3714,1
VFID3677,2022-Apr-24,VFID3714,
VFID3678,2022-Apr-24,VFID3714,
VFID3686,2022-Apr-24,VFID3714,
VFID3704,2022-Apr-24,VFID3714,
VFID3710,2022-Apr-24,VFID3714,
VFID3714,2022-Apr-24,VFID3714,
VFID3715,2022-Apr-24,VFID3714,
VFID3717,2022-Apr-24,VFID3714,
VFID3722,2022-Apr-24,VFID3714,
VFID3724,2022-Apr-24,VFID3714,
VFID3272,2022-Apr-25,VFID3272,
VFID3288,2022-Apr-25,VFID3272,
VFID2762,2022-Apr-25,VFID2762,1
VFID2717,2022-Apr-25,VFID2762,
VFID2724,2022-Apr-25,VFID2762,
VFID2728,2022-Apr-25,VFID2762,
VFID2757,2022-Apr-25,VFID2762,
VFID2766,2022-Apr-25,VFID2762,1
VFID2794,2022-Apr-25,VFID2762,
VFID2622,2022-Apr-25,VFID2622,
VFID6599,2022-Apr-25,VFID6599,1
VFID6556,2022-Apr-25,VFID6599,
VFID6553,2022-Apr-25,VFID6599,
VFID6566,2022-Apr-25,VFID6599,
VFID4025,2022-Apr-25,VFID4025,1
VFID4027,2022-Apr-25,VFID4025,
VFID3598,2022-Apr-25,VFID3598,1
VFID2259,2022-Apr-28,VFID2259,1
VFID2601,2022-Apr-28,VFID2601,1
VFID2547,2022-Apr-28,VFID2601,
VFID3504,2022-Apr-28,VFID3504,1
VFID6115,2022-Apr-28,VFID6115,1
VFID6136,2022-Apr-28,VFID6115,
VFID6166,2022-Apr-28,VFID6115,
VFID6167,2022-Apr-28,VFID6115,
VFID6187,2022-Apr-28,VFID6115,
VFID6211,2022-Apr-28,VFID6115,
VFID6249,2022-Apr-28,VFID6115,
VFID6503,2022-Apr-28,VFID6503,1
VFID6460,2022-Apr-28,VFID6503,
VFID6465,2022-Apr-28,VFID6503,
VFID6482,2022-Apr-28,VFID6503,
VFID6485,2022-Apr-28,VFID6503,
VFID6495,2022-Apr-28,VFID6503,
VFID6515,2022-Apr-28,VFID6503,
VFID6526,2022-Apr-28,VFID6503,
VFID6529,2022-Apr-28,VFID6503,
VFID6536,2022-Apr-28,VFID6503,
VFID6545,2022-Apr-28,VFID6503,
VFID6569,2022-Apr-28,VFID6503,
VFID4279,2022-Apr-28,VFID4279,1
VFID4307,2022-Apr-28,VFID4279,
VFID4378,2022-Apr-28,VFID4279,
VFID4380,2022-Apr-28,VFID4279,
VFID4257,2022-Apr-28,VFID4257,
VFID4260,2022-Apr-28,VFID4257,
VFID0683,2022-Apr-28,VFID0783,
VFID0783,2022-Apr-28,VFID0783,1
