VFID_V1,Date,Primary,CO
VFID1168,2022-May-1,VFID1168,1
VFID1164,2022-May-1,VFID1168,
VFID1169,2022-May-1,VFID1168,
VFID1171,2022-May-1,VFID1168,
VFID1175,2022-May-1,VFID1168,
VFID1304,2022-May-1,VFID1304,1
VFID1289,2022-May-1,VFID1304,
VFID1318,2022-May-1,VFID1304,
VFID1806,2022-May-1,VFID1806,
VFID3025,2022-May-1,VFID3025,1
VFID3023,2022-May-1,VFID3025,
VFID3038,2022-May-1,VFID3025,
VFID3054,2022-May-1,VFID3054,
VFID5922,2022-May-1,VFID5922,1
VFiD5936,2022-May-1,VFID5922,
VFID5969,2022-May-1,VFID5922,
VFID6397,2022-May-1,VFID6397,1
VFID4037,2022-May-1,VFID4037,
VFID4023,2022-May-1,VFID4037,
VFID4029,2022-May-1,VFID4037,
VFID4052,2022-May-1,VFID4037,
VFID4066,2022-May-1,VFID4037,
VFID0957,2022-May-2,VFID0957,1
VFID0959,2022-May-2,VFID0957,
VFID0960,2022-May-2,VFID0957,
VFID0991,2022-May-2,VFID1010,
VFID0993,2022-May-2,VFID1010,
VFID0999,2022-May-2,VFID1010,
VFID1009,2022-May-2,VFID1010,
VFID1010,2022-May-2,VFID1010,1
VFID1015,2022-May-2,VFID1010,
VFID1017,2022-May-2,VFID1010,
VFID1019,2022-May-2,VFID1010,
VFID1036,2022-May-2,VFID1010,1
VFID1534,2022-May-2,VFID1534,1
VFID2171,2022-May-2,VFID2171,1
VFID2191,2022-May-2,VFID2171,
VFID2195,2022-May-2,VFID2171,
VFID2201,2022-May-2,VFID2171,
VFID2883,2022-May-2,VFID2883,1
VFID2874,2022-May-2,VFID2883,
VFID6620,2022-May-2,VFID6620,1
VFID6631,2022-May-2,VFID6620,
VFID6651,2022-May-2,VFID6620,
VFID6293,2022-May-2,VFID6293,1
VFID5897,2022-May-2,VFID5897, 
VFID1213,2022-May-3,VFID1213,1
VFID1222,2022-May-3,VFID1213,
VFID1277,2022-May-3,VFID1277,1
VFID1279,2022-May-3,VFID1277,
VFID1299,2022-May-3,VFID1277,
VFID1376,2022-May-3,VFID1376,1
VFID1819,2022-May-3,VFID1819,1
VFID3098,2022-May-3,VFID3098,1
VFID4086,2022-May-3,VFID4086,
VFID4037,2022-May-3,VFID4086,
VFID4051,2022-May-3,VFID4086,
VFID4061,2022-May-3,VFID4086,
VFID4066,2022-May-3,VFID4086,
VFID4084,2022-May-3,VFID4086,
VFID5625,2022-May-3,VFID5625,
VFID5631,2022-May-3,VFID5625,
VFID5981,2022-May-3,VFID5981,1
VFID6008,2022-May-3,VFID5981,
VFID1756,2022-May-4,VFID1756,1
VFID1855,2022-May-4,VFID1855,1
VFID1846,2022-May-4,VFID1855,
VFID1850,2022-May-4,VFID1855,
VFID1852,2022-May-4,VFID1855,
VFID1867,2022-May-4,VFID1855,
VFID1872,2022-May-4,VFID1855,
VFID2797,2022-May-4,VFID2797,1
VFID3025,2022-May-4,VFID3025,
VFID3023,2022-May-4,VFID3025,
VFID3038,2022-May-4,VFID3025,
VFID5726,2022-May-4,VFID5726,1
VFID5193,2022-May-4,VFID5193,
VFID5182,2022-May-4,VFID5193,
VFID6183,2022-May-4,VFID6183,
VFID6305,2022-May-4,VFID6305,1
VFID2661,2022-Apr-26,,obs at bok
VFID2821,2021-Mar-12,,obs at bok
