# Pointing,NSAID,RA,DEC,rmag
001,  135129,  08:27:8.05, 25:58:13.16, 11.79
002,  135136, 08:27:17.17, 25:52:43.69, 12.86
003,   15877, 08:27:18.06,  46:02:3.04, 15.15
004,   64477, 08:33:42.56, 27:42:43.98, 14.25
005,  135465,  08:44:7.67,  30:07:8.65, 12.99
006,  135928, 09:30:16.96, 29:32:23.85, 12.27
007,  136430, 10:02:16.69, 24:42:39.98, 11.78
008,   48222, 10:12:48.57, 43:08:43.90, 12.54
009,  137391, 10:27:45.44, 22:50:49.82, 11.78
010,   90176, 10:48:24.81, 34:42:41.03, 12.14
011,   87100, 10:52:38.35, 34:28:58.79, 14.04
012,   87097,  10:53:8.11, 33:54:37.24, 13.14
013,  138642, 11:03:11.25, 27:58:19.99, 10.25
014,  159520, 11:15:25.54, 47:26:49.46, 12.02
015,   88028, 11:27:21.93, 40:00:46.90, 14.22
016,  101649,  11:28:0.60, 29:30:39.90, 11.93
017,   93977, 11:28:54.13, 35:24:50.29, 12.67
018,   90972, 11:30:33.38, 38:14:26.49, 14.46
019,   90957,  11:31:9.55,  36:36:2.52, 14.24
020,   90956,  11:32:2.39, 36:41:52.78, 13.37
021,   92459, 11:33:30.18, 33:30:27.07, 14.32
022,  139741, 11:33:44.09,  32:38:1.16, 13.15
023,  139967, 11:38:44.08, 33:48:16.05, 13.79
024,  101973, 11:40:25.09, 28:22:28.40, 14.18
025,  160627,  11:50:4.46, 26:28:45.34, 12.42
026,  117583, 12:03:50.58, 16:33:16.54, 14.84
027,  118414, 12:11:57.76, 20:01:40.26, 14.41
028,  102983, 12:19:23.78, 28:18:35.93, 13.66
029,  142509, 12:54:40.62, 28:56:19.17, 11.53
030,  162674, 12:57:50.12, 29:39:16.35, 14.46
031,   90053, 13:14:30.44, 35:23:15.02, 14.25
032,  143305, 13:19:39.36, 30:15:23.72, 13.29
033,   61693, 13:28:33.29, 46:55:37.83, 14.07
034,  163803, 13:38:24.49,  33:07:4.34, 13.58
035,  143856, 13:46:23.68, 43:52:20.50, 11.67
036,  143894, 13:48:38.81, 43:24:48.02, 13.33
037,   54612, 13:48:39.00, 43:24:44.16, 13.17
038,   56408,  13:49:4.55, 39:29:51.54, 11.53
039,   56478, 13:51:25.37, 40:12:47.67, 13.95
040,   54619,  13:52:9.81, 43:14:34.75, 13.07
041,   94340, 13:53:17.79, 33:29:27.10, 11.88
042,   94217, 13:56:56.00, 29:09:51.70, 11.28
043,  144151,  13:57:4.98, 41:50:46.57, 11.20
044,   80186, 14:06:31.97, 06:01:46.79, 12.82
045,  164911, 14:23:27.17, 01:43:34.48, 12.37
046,   18052,  14:30:1.85, 03:46:22.41, 14.10
047,  165115, 14:30:39.35, 07:16:30.37, 11.79
048,  165147, 14:31:57.39,  06:15:1.42, 13.35
049,    2473, 14:32:28.52, 00:17:38.14, 13.50
050,  165200, 14:33:24.33,  04:27:1.61, 11.46
051,   18153, 14:38:18.12, 03:24:37.18, 12.85
052,  145398, 14:39:11.08, 05:21:48.48, 11.10
053,  145433, 14:40:58.30, 02:11:12.21, 13.59
054,   18301, 14:42:57.92, 04:53:24.68, 12.57
055,  165654, 14:49:46.07, 60:23:54.90, 14.76
056,  165707, 14:51:17.81, 58:58:41.14, 12.33
057,   18363,  14:53:2.86, 03:17:45.84, 12.83
058,  165750,  14:53:5.25, 03:19:54.35, 12.30
059,  145672, 14:53:15.02, 03:57:35.00, 11.55
060,   15333,  15:00:0.40, 01:53:28.83, 10.76
061,  145756, 15:01:11.23,  01:42:7.18, 10.11
062,  165862,  15:02:3.51, 01:50:28.66, 13.41
063,  165875,  15:04:7.00, 01:13:11.82, 10.88
064,  165896, 15:05:26.24, 02:05:57.41, 10.54
065,  145804, 15:05:27.49,  01:38:5.32, 11.59
066,   19809, 15:05:35.75, 59:05:37.96, 14.94
067,  145814,  15:06:0.79,  01:38:1.70, 12.08
068,   15345, 15:06:29.31, 01:36:19.95, 10.05
069,  145846, 15:07:47.70,  02:34:7.05, 11.33
070,   15339,  15:08:5.63,  01:39:5.82, 14.28
071,  165956, 15:09:33.57, 03:03:10.08, 11.42
072,  145879, 15:09:49.42, 00:28:12.31, 11.32
073,  165980, 15:11:40.94, 59:48:32.37, 12.03
074,   19883, 15:13:29.17, 58:30:33.89, 13.85
075,  125153, 15:15:34.61, 02:14:53.76, 13.02
076,  166168, 15:23:51.62, 58:03:10.65, 13.16
077,  146236, 15:33:43.06, 15:00:26.34, 12.75
078,  166278, 15:34:32.39, 15:11:37.62, 11.83
079,  166280, 15:34:35.02,  15:12:0.36, 12.70
080,  121129, 15:34:58.54,  11:45:0.94, 12.07
081,  166297, 15:35:23.22, 12:02:51.34, 11.82
082,  146289, 15:37:53.46, 59:23:30.65, 12.44
083,  166330, 15:38:29.95, 12:11:11.75, 11.48
084,  166335, 15:38:39.83, 59:21:21.34, 10.80
085,  146317, 15:39:37.07, 59:19:55.51, 10.73
086,  146344, 15:41:32.80, 59:45:19.10, 13.00
087,  146356, 15:43:23.99,  14:26:6.52, 14.05
