NSA ID,NED,RA,DEC,Vr,CO,HI,Halpha,Pointing,Date Obs,Date Obs2,Alt Point,Date Obs,Filament,Group,Telescope,filter,Dithers,R expt (s),Halpha expt (s),R expt tot,Halpha exp tot,R FWHM (iraf),R FWHM,Ha4 FWHM (iraf),Ha4 FWHM
,TOTAL,,,,97,113,32,,,,,,14,32,,,,,,,,,,,
54578,Mrk1484,,,,1,1,-1,19,2017-05-22,,,,0,1,kpno-0.9m,kpno-ha4,,,,,,3.76,1.62432,3.69,1.59408
54579,,,,,0,0,0,19,2017-05-22,,,,0,1,kpno-0.9m,kpno-ha4,,,,,,3.76,1.62432,3.69,1.59408
56402,,,,,0,0,0,14,2017-05-21,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
56403,I4336,,,,1,0,1,12,2017-05-21,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200,540,3600,4.95,2.1384,5.02,2.16864
56409,N5313,,,,1,1,1,14,2017-05-21,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
56410,,,,,0,0,1,14,2017-05-21,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
56411,,,,,0,0,1,14,2017-05-21,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
56434,N5320,,,,1,1,1,19,2017-05-22,,,,0,1,kpno-0.9m,kpno-ha4,,,,,,3.76,1.62432,3.69,1.59408
56455,,,,,0,0,1,13,2017-05-20,,,,0,1,kpno-0.9m,kpno-ha4,1,180,600x1,180,600,3.9,1.6848,2.92,1.26144
56456,N5346,,,,1,1,1,13,2017-05-20,,,,0,1,kpno-0.9m,kpno-ha4,1,180,600x1,180,600,3.9,1.6848,2.92,1.26144
56462,2MASX1352,,,,1,0,1,12,2017-05-21,,13,2017-05-20,0,1,kpno-0.9m,kpno-ha4,3,180,1200,540,3600,4.95,2.1384,5.02,2.16864
56466,,,,,0,0,0,12,2017-05-21,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200,540,3600,4.95,2.1384,5.02,2.16864
56469,N5311,,,,1,1,1,14,2017-05-21,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
56474,,,,,0,0,0,16,2017-05-20,2017-05-21,,,0,1,kpno-0.9m,kpno-ha4,2,180,1200,360,2400,3.92,1.69344,3.96,1.71072
56480,N5355,,,,0,1,0,16,2017-05-20,2017-05-21,,,0,1,kpno-0.9m,kpno-ha4,2,180,1200,360,2400,3.92,1.69344,3.96,1.71072
56482,N5350,,,,1,1,1,16,2017-05-20,2017-05-21,,,0,1,kpno-0.9m,kpno-ha4,2,180,1200,360,2400,3.92,1.69344,3.96,1.71072
56483,N5353,,,,0,1,0,16,2017-05-20,2017-05-21,,,0,1,kpno-0.9m,kpno-ha4,2,180,1200,360,2400,3.92,1.69344,3.96,1.71072
56488,N5358,,,,0,1,0,16,2017-05-20,2017-05-21,,,0,1,kpno-0.9m,kpno-ha4,2,180,1200,360,2400,3.92,1.69344,3.96,1.71072
56489,,,,,0,0,1,16,2017-05-20,2017-05-21,,,0,1,kpno-0.9m,kpno-ha4,2,180,1200,360,2400,3.92,1.69344,3.96,1.71072
61674,CGCG246,,,,1,0,0,23,2017-05-22,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200(1 600x2),540,3600,3.98,1.71936,4.18,1.80576
61690,N5173,,,,1,1,1,23,2017-05-22,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200(1 600x2),540,3600,3.98,1.71936,4.18,1.80576
61691,N5169,,,,1,1,1,23,2017-05-22,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200(1 600x2),540,3600,3.98,1.71936,4.18,1.80576
61692,MCG08-25,,,,1,1,1,23,2017-05-22,,,,0,1,kpno-0.9m,kpno-ha4,3,180,1200(1 600x2),540,3600,3.98,1.71936,4.18,1.80576
67593,,,,,0,0,1,10,2017-05-23,,,,,,kpno-0.9m,kpno-ha4,,,,,,4.34,1.87488,4.23,1.82736
67595,U8919,,,,1,1,0,10,2017-05-23,,,,1,,kpno-0.9m,kpno-ha4,3,180,1200,540,3600,4.34,1.87488,4.23,1.82736
88353,N5517,213.213494,35.710894,,1,1,1,4,2017-05-19,,,,1,0,kpno-0.9m,kpno-ha4,3,180,600x2,540,3600,4.63,2.00016,5.42,2.34144
90371,,,,,0,0,1,7,2017-05-22,,,,,,kpno-0.9m,kpno-ha4,,,,,,3.6,1.5552,4.01,1.73232
