 Source    Area err V err  DV err  Tpeak err  rms!    
N5117      0.473  0.080  2410.0   9.5 105.0  17.3 0.423E-02 0.108E-02 0.784E-03
MCG08-25   0.389  0.090  2575.0  15.8 129.9  30.2 0.282E-02 0.109E-02 0.712E-03
U8919      0.192  0.059  2705.0   6.3  39.0  11.8 0.462E-02 0.149E-02 0.460E-03
2MASX1352  0.339  0.114  2798.0  16.7  80.8  33.5 0.394E-02 0.183E-02 0.115E-02
KUG1358    0.345  0.109  2648.0  16.0  92.8  28.6 0.350E-02 0.144E-02 0.867E-03
SDSS1348   0.620  0.106  2350.0   7.6  86.2  16.4 0.676E-02 0.170E-02 0.172E-02
MRK1484    3.354  0.294  2634.0   7.7 175.2  18.1 0.180E-01 0.320E-02 0.333E-02
N5336      0.936  0.140  2361.0  13.0 159.0  24.5 0.553E-02 0.170E-02 0.164E-02
MRK462     0.516  0.085  2494.0   2.9  36.1   7.0 0.134E-01 0.288E-02 0.145E-02
CGCG246    1.278  0.183  2598.0  11.9 156.1  26.1 0.769E-02 0.213E-02 0.178E-02
I4263      0.000  0.000     0.0   0.0   0.0   0.0 0.000E+00 0.000E+00 0.000E+00
N5169      1.053  0.130  2436.0   7.8 118.9  14.4 0.832E-02 0.185E-02 0.261E-02
N5346      0.436  0.115  2488.0  14.4 121.5  42.6 0.337E-02 0.137E-02 0.138E-02
MRK465     0.505  0.099  2724.0   4.9  45.5  11.4 0.104E-01 0.214E-02 0.119E-02
U8693      1.126  0.120  2485.0   5.8 110.0  14.4 0.962E-02 0.161E-02 0.115E-02
N5012A     0.407  0.098  2538.0   9.1  76.0  19.9 0.503E-02 0.168E-02 0.890E-03
U8656      1.357  0.196  2906.0  14.1 185.5  28.2 0.687E-02 0.218E-02 0.197E-02
CGCG219    0.596  0.181  2584.0  18.4  85.8  42.5 0.652E-02 0.221E-02 0.223E-02
I851       0.622  0.156  2650.0  16.7 125.7  41.0 0.465E-02 0.186E-02 0.179E-02
U8630      0.000  0.000     0.0   0.0   0.0   0.0 0.000E+00 0.000E+00 0.000E+00
N5350      7.793  0.301  2326.0   4.9 254.1  11.1 0.288E-01 0.278E-02 0.302E-02
N5016      4.397  0.386  2589.0   7.3 153.4  14.4 0.269E-01 0.466E-02 0.666E-02
N5116      3.448  0.263  2914.0   6.0 152.6  12.5 0.212E-01 0.321E-02 0.192E-02
N4793     21.400  0.406  2569.0   1.9 192.0   4.5 0.105E+00 0.407E-02 0.193E-01
N4961      1.868  0.188  2542.0   6.3 118.8  12.1 0.148E-01 0.266E-02 0.385E-02
N5347      6.013  0.231  2412.0   1.8  95.8   4.2 0.589E-01 0.347E-02 0.280E-02
N5313     13.360  0.528  2566.0   5.7 286.3  12.2 0.438E-01 0.466E-02 0.571E-02
N5320      3.521  0.302  2616.0   8.5 198.4  19.5 0.167E-01 0.314E-02 0.396E-02
N5311      7.190  0.534  2704.0  16.2 453.5  41.1 0.152E-01 0.280E-02 0.255E-02
N5375      1.216  0.146  2404.0   7.2 115.3  14.4 0.991E-02 0.207E-02 0.254E-02
N5403     12.410  0.412  2804.0   5.6 334.4  12.0 0.349E-01 0.338E-02 0.403E-02
N5290     16.270  0.372  2560.0   2.8 246.5   6.5 0.620E-01 0.347E-02 0.323E-02
U8076      0.200  0.048  2513.0   2.9  23.1   6.1 0.814E-02 0.298E-02 0.153E-02
U8409      0.194  0.080  2032.0   7.8  41.7  21.4 0.437E-02 0.334E-02 0.288E-02
N5012     13.870  0.375  2652.0   3.8 271.5   7.7 0.480E-01 0.345E-02 0.785E-02
N5289      1.014  0.215  2536.0  12.9 149.9  48.4 0.635E-02 0.204E-02 0.120E-02
N5297      4.690  0.293  2406.0   4.7 146.5   9.7 0.301E-01 0.367E-02 0.400E-02
N5371      9.622  0.570  2553.0  11.3 381.2  24.9 0.237E-01 0.436E-02 0.444E-02
N5326      0.756  0.294  2463.0  58.2 304.1 134.0 0.233E-02 0.249E-02 0.226E-02
U8318      0.330  0.118  2581.0   8.7  49.3  20.2 0.629E-02 0.246E-02 0.396E-03
