                  objname , objtype ,     de2000 ,     al2000 ,        v ,      e_v ,     vopt ,   e_vopt ,     vrad ,   e_vrad ,     bt ,   e_bt ,  type ,  bar ,  ring ,  multiple , compactness ,     t ,   e_t ,   logd25 , e_logd25 ,   logr25 , e_logr25 ,     pa ,   incl ,    logdc ,    btc ,    itc ,   ubtc ,   bvtc ,   m21c ,    hic ,   mabs , agnclass ,     kt ,  e_kt ,     it ,   e_it ,     ut ,     vt ,   mfir ,  e_ut ,  e_vt ,</strong>

  PGC740471                   , G       ,  -28.53844 ,    7.04179 ,     2521 ,       65 ,     2521 ,       65 ,          ,          ,  16.26 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.77 ,     0.07 ,     0.21 ,     0.03 ,  163.0 ,   53.1 ,          ,  15.71 ,  14.36 ,        ,        ,        ,        , -16.88 ,          , 12.958 ,  0.19 ,  14.60 ,   0.08 ,        ,        ,        ,       ,       ,
  PGC747791                   , G       ,  -27.94227 ,    6.85114 ,     2424 ,       39 ,     2424 ,       39 ,          ,          ,  17.27 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.60 ,     0.08 ,     0.24 ,     0.03 ,   90.7 ,   56.6 ,          ,  16.70 ,  14.78 ,        ,        ,        ,        , -15.80 ,          , 12.779 , 0.103 ,  15.02 ,   0.07 ,        ,        ,        ,       ,       ,
  PGC1041550                  , G       ,   -5.69319 ,   17.37312 ,     1622 ,        4 ,     1629 ,       38 ,     1622 ,        5 ,  17.36 ,   0.50 , S?    ,      ,       ,           ,             ,   7.0 ,   5.0 ,     0.72 ,     0.07 ,     0.46 ,     0.03 ,  140.0 ,   71.8 ,     0.97 ,  13.70 ,  13.88 ,        ,        ,  13.71 ,   0.01 , -18.37 ,          , 12.811 , 0.501 ,  15.13 ,   0.09 ,        ,        ,        ,       ,       ,
  PGC1146040                  , G       ,   -0.32922 ,   16.79977 ,     2351 ,        7 ,     6594 ,       43 ,     2351 ,        7 ,  16.83 ,   0.50 , S?    ,      ,       ,           ,             ,  10.0 ,   5.0 ,     0.75 ,     0.07 ,     0.29 ,     0.04 ,   45.4 ,   70.6 ,     0.81 ,  15.53 ,  14.19 ,        ,        ,  14.88 ,  -0.65 , -17.28 ,          , 12.751 , 0.108 ,  14.52 ,   0.10 ,        ,        ,        ,       ,       ,
  PGC1330929                  , G       ,    7.78687 ,   17.16557 ,     2591 ,        4 ,     2596 ,       60 ,     2591 ,        6 ,  16.70 ,   0.50 , Sm    ,      ,       ,           ,             ,   9.0 ,   1.4 ,     0.86 ,     0.06 ,     0.48 ,     0.03 ,  136.0 ,   90.0 ,     0.89 ,  15.26 ,        ,        ,        ,  14.36 ,  -0.90 , -17.77 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC1381842                  , G       ,   10.60171 ,   18.55521 ,     3165 ,        6 ,          ,          ,     3165 ,        6 ,  17.96 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.58 ,     0.09 ,     0.31 ,     0.03 ,  179.0 ,   62.4 ,          ,  16.82 ,        ,        ,        ,  15.12 ,  -1.69 , -16.62 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC1404402                  , G       ,   12.13853 ,   18.49556 ,     2518 ,       23 ,     2518 ,       23 ,          ,          ,  14.37 ,   0.50 , Sa    ,      ,       ,           ,             ,   1.0 ,   2.0 ,     1.15 ,     0.04 ,     0.32 ,     0.03 ,  140.5 ,   68.4 ,     1.26 ,  12.81 ,        ,        ,        ,        ,        , -20.19 ,          ,  9.559 , 0.051 ,        ,        ,        ,        ,        ,       ,       ,
  PGC1454473                  , G       ,   14.29436 ,   16.58525 ,       20 ,       19 ,       20 ,       19 ,          ,          ,  18.67 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.37 ,     0.12 ,     0.17 ,     0.03 ,        ,   48.5 ,          ,  18.42 ,  17.31 ,        ,        ,        ,        ,        ,          ,        ,       ,  17.42 ,   0.08 ,  19.91 ,        ,        , 0.053 ,       ,
  PGC1502546                  , G       ,   16.17504 ,   16.18260 ,     -408 ,       25 ,     -408 ,       25 ,          ,          ,  17.85 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.46 ,     0.10 ,     0.19 ,     0.03 ,  108.5 ,   50.9 ,          ,  17.65 ,  16.25 ,        ,        ,        ,        ,        ,          ,  13.39 ,  0.18 ,  16.34 ,   0.07 , 18.623 ,        ,        , 0.038 ,       ,
  PGC1510033                  , G       ,   16.49086 ,   16.13841 ,     1139 ,        3 ,     1142 ,        6 ,     1137 ,        4 ,  19.02 ,   1.27 , IB    , B    ,       ,           ,             ,  10.0 ,   2.0 ,     0.55 ,     0.10 ,     0.44 ,     0.03 ,   46.0 ,   90.0 ,     0.55 ,  18.01 ,  18.27 ,        ,        ,  17.09 ,  -0.92 , -13.51 ,          ,        ,       ,  18.36 ,   1.30 , 20.406 ,        ,        , 0.971 ,       ,
  PGC1577636                  , G       ,   19.01279 ,   16.01402 ,      -60 ,       36 ,      -60 ,       36 ,          ,          ,  17.90 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.61 ,     0.09 ,     0.15 ,     0.03 ,   86.7 ,   45.9 ,          ,  17.71 ,  16.46 ,        ,        ,        ,        ,        ,          ,        ,       ,  16.54 ,   0.30 , 19.432 ,        ,        , 0.154 ,       ,
  PGC1602186                  , G       ,   19.69573 ,   16.53676 ,     2500 ,       60 ,     2500 ,       60 ,          ,          ,  18.20 ,   0.50 , Sc    ,      ,       ,           ,             ,   4.8 ,   3.0 ,     0.65 ,     0.08 ,     0.38 ,     0.03 ,   30.0 ,   68.3 ,     0.66 ,  17.32 ,        ,        ,        ,        ,        , -15.69 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC1619923                  , G       ,   20.20588 ,   17.12204 ,     -105 ,       22 ,     -105 ,       22 ,          ,          ,  17.97 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.41 ,     0.10 ,     0.22 ,     0.03 ,   32.2 ,   53.8 ,          ,  17.70 ,  16.78 ,        ,        ,        ,        ,        ,          ,        ,       ,  16.90 ,   0.10 , 18.966 ,        ,        , 0.027 ,       ,
  PGC1642468                  , G       ,   21.08737 ,   16.78630 ,     2728 ,        1 ,     2728 ,        1 ,          ,          ,  17.35 ,   0.50 , S?    ,      ,       ,           ,             ,  10.0 ,   5.0 ,     0.53 ,     0.09 ,     0.26 ,     0.03 ,  102.2 ,   66.4 ,     0.54 ,  16.66 ,  17.57 ,        ,        ,        ,        , -16.52 ,          ,        ,       ,  17.66 ,   0.32 , 17.817 ,        ,        , 0.115 ,       ,
  PGC1646422                  , G       ,   21.26543 ,   17.83653 ,     3222 ,        4 ,     3222 ,       60 ,     3222 ,        6 ,  16.57 ,   0.50 , Sc    ,      ,       ,           ,             ,   6.0 ,   2.0 ,     0.66 ,     0.08 ,     0.27 ,     0.03 ,  164.5 ,   59.0 ,     0.69 ,  15.68 ,        ,        ,        ,  16.57 ,   0.89 , -17.83 ,          , 13.595 , 0.166 ,        ,        ,        ,        ,        ,       ,       ,
  PGC1648097                  , G       ,   21.34392 ,   16.21788 ,     -153 ,       42 ,     -153 ,       42 ,          ,          ,  18.74 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.39 ,     0.11 ,     0.16 ,     0.04 ,   75.8 ,   46.7 ,          ,  18.35 ,  16.82 ,        ,        ,        ,        ,        ,          , 14.083 , 0.143 ,  16.99 ,   0.07 , 19.894 ,        ,        , 0.119 ,       ,
