Source     Area err V err  DV err  Tpeak err  rms!    
N5117      0.602  0.154  2381.0  20.0 132.1  30.7 0.428E-02 0.214E-02 0.161E-02
MCG08-25   0.416  0.090  2590.0   8.9  83.7  21.4 0.467E-02 0.117E-02 0.114E-02
U8919      0.281  0.081  2749.0   8.0  53.0  17.3 0.498E-02 0.163E-02 0.826E-03
2MASX1352  0.338  0.107  2755.0   9.4  54.3  20.2 0.586E-02 0.207E-02 0.518E-03
KUG1358    0.380  0.137  2626.0  11.9  59.3  18.9 0.603E-02 0.286E-02 0.120E-02
SDSS1348   0.368  0.122  2334.0  15.6  85.3  24.4 0.405E-02 0.212E-02 0.183E-02
MRK1484    4.205  0.319  2640.0   5.5 142.7  12.4 0.277E-01 0.392E-02 0.364E-02
N5336      0.465  0.156  2130.0   8.3  43.6  17.9 0.100E-01 0.338E-02 0.159E-02
MRK462     0.697  0.080  2493.0   1.0  18.4   2.5 0.356E-01 0.538E-02 0.346E-02
CGCG246    1.414  0.201  2627.0   6.9  88.1  12.6 0.151E-01 0.466E-02 0.478E-02
I4263      0.475  0.140  2775.0  24.1 160.6  56.2 0.278E-02 0.161E-02 0.134E-02
N5169      1.416  0.165  2431.0   7.2 116.8  13.0 0.114E-01 0.238E-02 0.308E-02
N5346      0.000  0.000     0.0   0.0   0.0   0.0 0.000E+00 0.000E+00 0.000E+00
MRK465     0.467  0.141  2735.0   6.9  47.3  18.5 0.927E-02 0.283E-02 0.107E-02
U8693      0.988  0.185  2472.0  11.5 122.6  29.4 0.757E-02 0.231E-02 0.146E-02
N5012A     0.263  0.110  2530.0  18.1  78.7  30.4 0.314E-02 0.197E-02 0.170E-02
U8656      0.617  0.132  2927.0  14.2 122.7  23.5 0.472E-02 0.189E-02 0.249E-02
CGCG219    0.630  0.108  2604.0   7.4  83.5  14.7 0.709E-02 0.180E-02 0.742E-03
I851       0.549  0.136  2639.0   9.4  74.2  19.9 0.696E-02 0.237E-02 0.181E-02
U8630      0.000  0.000     0.0   0.0   0.0   0.0 0.000E+00 0.000E+00 0.000E+00
N5350      9.104  0.387  2332.0   4.6 219.6  10.2 0.389E-01 0.387E-02 0.358E-02
N5016      5.102  0.375  2579.0   5.8 159.2  14.0 0.301E-01 0.425E-02 0.455E-02
N5116      2.298  0.281  2911.0   9.6 155.5  20.5 0.139E-01 0.341E-02 0.277E-02
N4793     16.830  0.582  2605.0   1.7 103.4   4.7 0.153E+00 0.772E-02 0.157E-01
N4961      1.449  0.203  2511.0   4.8  68.3  10.8 0.199E-01 0.360E-02 0.200E-02
N5347      7.022  0.265  2420.0   1.5  80.9   3.5 0.816E-01 0.434E-02 0.276E-02
N5313     11.890  0.410  2549.0   4.7 268.3  10.1 0.416E-01 0.374E-02 0.493E-02
N5320      2.413  0.308  2616.0  11.6 176.3  24.7 0.129E-01 0.346E-02 0.274E-02
N5311      6.340  0.467  2766.0  10.6 281.1  24.1 0.212E-01 0.405E-02 0.405E-02
N5375      2.417  0.275  2389.0  11.1 199.9  26.5 0.114E-01 0.278E-02 0.248E-02
N5403     10.900  0.400  2808.0   4.5 250.9  10.6 0.408E-01 0.370E-02 0.289E-02
N5290     16.290  0.383  2564.0   2.8 242.8   6.7 0.630E-01 0.356E-02 0.386E-02
U8076      0.000  0.000     0.0   0.0   0.0   0.0 0.000E+00 0.000E+00 0.000E+00
U8409      0.432  0.141  2362.0   8.7  53.0  19.6 0.765E-02 0.406E-02 0.249E-02
N5012     12.670  0.538  2632.0   5.3 250.3  11.9 0.476E-01 0.505E-02 0.540E-02
N5289      0.411  0.111  2526.0   5.8  43.4  13.6 0.890E-02 0.247E-02 0.661E-03
N5297      3.509  0.352  2418.0   8.9 163.3  18.1 0.202E-01 0.401E-02 0.518E-02
N5371      9.334  0.553  2554.0  10.0 342.1  23.4 0.256E-01 0.436E-02 0.419E-02
N5326      1.138  0.282  2605.0  23.1 199.1  68.6 0.537E-02 0.257E-02 0.196E-02
U8318      0.000  0.000     0.0   0.0   0.0   0.0 0.000E+00 0.000E+00 0.000E+00
